feature,importance_mean,importance_std,importance_min,importance_25pct,importance_median,importance_75pct,importance_max
Knee_stdev_angle,0.10910967538606992,0.032924336935449286,-0.004727387330602073,0.09297195083517171,0.11377245508982031,0.13059407500787903,0.1700283643239836
Ankle_IQRx,0.059799873936337795,0.01685847412899962,0.01717617396785376,0.049164828238260266,0.059880239520958,0.07031988654270399,0.10557831705011023
Knee_entropy_angle,0.04236999684840839,0.03533765002737461,-0.023164197919949725,0.017176173967853703,0.04128584935392371,0.0676804286164513,0.13110620863536082
Ankle_IQRaccy,0.038723605420737425,0.02242225741781419,-0.018909549322407848,0.024818783485660245,0.03971005357705637,0.055546801134572915,0.08320201701859431
Ankle_medianvely,0.032707217144658005,0.01890670374639387,-0.02017018594390174,0.020721714465805258,0.0351402458241411,0.044910179640718556,0.0731169240466435
Ankle_IQRvely,0.03104947998739359,0.018329924706645236,-0.021115663410022134,0.019303498266624558,0.031673495115033035,0.04238890639773085,0.06965017333753543
Ankle_IQRaccx,0.02928616451307905,0.02732632864577926,-0.018121651433974262,0.008548692089505178,0.02521273242987704,0.052158840214308166,0.10053577056413476
Elbow_entropy_angle,0.027042231326819995,0.02362337981854791,-0.033091711314213734,0.012094232587456594,0.022691459186889362,0.03616451307910484,0.1090450677592183
Elbow_IQR_acc_angle,0.024765206429246716,0.01693813666764193,-0.016703435234793673,0.015285219035612946,0.024739993696816842,0.034903876457611005,0.06523794516230685
Wrist_lrCorr_x,0.01645761109360221,0.007404238955549929,-0.0018909549322408958,0.012054837693034892,0.017018594390166952,0.020800504254648522,0.03624330286794819
Knee_IQR_vel_angle,0.01553892215568857,0.015024349531824986,-0.012606366214938602,0.005003151591553678,0.014654900724866027,0.026788528206744378,0.051213362748187774
Knee_median_vel_angle,0.014147494484714725,0.014028735172025752,-0.012921525370312104,0.004215253703119981,0.014182161991805775,0.023715726441853102,0.0468011345729592
Knee_IQR_acc_angle,0.011892530728017582,0.012458924550282389,-0.02017018594390174,0.002206114087614175,0.012921525370311937,0.020800504254648522,0.0359281437125748
Knee_mean_angle,0.010480617711944489,0.017637223952801404,-0.030255278915852557,-0.001654585565710659,0.009927513394264065,0.021430822565395524,0.05452253387960915
Wrist_medianvely,0.00989757327450359,0.014160113389250238,-0.02710368736211788,0.00047273873306016845,0.011030570438071208,0.018988339111251196,0.0475890324613929
Wrist_IQRvely,0.009525685471162887,0.013973646156775496,-0.025212732429877094,-0.00031515915537350114,0.011345729593444653,0.018673179955877695,0.045382918373778725
Wrist_IQRvelx,0.00871257485029936,0.008584350378505344,-0.008824456350457033,0.002521273242987676,0.008824456350456922,0.014497321147179276,0.02773400567286477
Wrist_medianvelx,0.00858178380081937,0.008484966558044196,-0.008509297195083532,0.0023636936653009255,0.009454774661203813,0.014182161991805886,0.02773400567286477
Ankle_lrCorr_x,0.008156318941065199,0.011258465227528953,-0.018909549322407848,-0.00039394894421687643,0.008036558462023335,0.015521588402143044,0.03120075638197284
Ankle_IQRvelx,0.0067491333123226695,0.019951852898687488,-0.031358335959659644,-0.007445635045698201,0.0032303813425779704,0.02103687362117873,0.059880239520958
Ankle_medianx,0.0065395524739993134,0.0022988802793480058,0.0006303183107468913,0.0052789158525054225,0.006933501418216137,0.007957768673179988,0.010715411282697707
Ankle_medianvelx,0.006225969114402723,0.019202395370860863,-0.02946738102741886,-0.0063425780018910305,0.0034667507091080685,0.020170185943901603,0.057674125433343826
Wrist_IQRy,0.0036243302867947826,0.005408492902694256,-0.010085092971950815,-0.0009454774661203924,0.0037819098644815696,0.007957768673179905,0.014497321147179276
Elbow_mean_angle,0.0020359281437125265,0.011322850482829456,-0.025843050740623985,-0.004057674125433425,0.002284903876457578,0.010636621493854304,0.022691459186889307
Elbow_stdev_angle,0.0018594390167033937,0.004177137088868957,-0.00787897888433664,-0.0007091080995903498,0.002206114087614175,0.004412228175228461,0.014182161991805775
Elbow_lrCorr_angle,0.001522218720453785,0.001013475598952946,-0.0012606366214938935,0.0006303183107468913,0.0014182161991805886,0.0022849038764576057,0.0037819098644815696
Wrist_IQRaccy,0.0013930034667506619,0.0028026776051758725,-0.005042546485975463,-0.000630318310746919,0.0009454774661203924,0.0034667507091080685,0.00850929719508342
Elbow_median_vel_angle,0.001304758903246097,0.0014504307775368467,-0.002521273242987787,0.0003151591553733901,0.0015757957768672837,0.002206114087614286,0.005357705641348853
Wrist_medianx,0.0012543334383863358,0.0010104574628059632,-0.0006303183107470023,0.0006303183107468913,0.0012606366214937825,0.0018909549322406738,0.0034667507091080685
Wrist_IQRaccx,0.0010620863536085269,0.007122967144100018,-0.01512763945792639,-0.0039394894421682924,0.0006303183107468358,0.0059880239520957446,0.01638827607942006
Ankle_IQRy,0.0009391742830128714,0.005562711759412527,-0.009454774661203924,-0.002521273242987704,0.0006303183107467802,0.004491017964071808,0.019224708477781238
Elbow_IQR_vel_angle,0.0006303183107468824,0.003244455975198529,-0.006933501418216248,-0.0015757957768673114,0.00031515915537350114,0.0022849038764575502,0.009454774661203813
Wrist_IQRx,0.00040970690198546047,0.017524011007915712,-0.04002521273242987,-0.00890324613930038,0.0023636936653009255,0.013000315159155257,0.05137094232587458
Ankle_meanent,0.0002048534509927036,0.027907894864856297,-0.05168610148124808,-0.019618657421998087,-0.0018909549322407848,0.018042861645130692,0.08131106208635352
Knee_lrCorr_angle,4.569807752909716e-05,0.013599132070668244,-0.026158209895997486,-0.010045698077529197,-0.0006303183107469468,0.00858808698392688,0.03246139300346673
Wrist_meanent,-0.00370312007563824,0.0063332681015467185,-0.021745981720769136,-0.00850929719508356,-0.003939489442168376,0.0009454774661202814,0.012291207059565101
Ankle_mediany,-0.0057516545855657575,0.00799503246620928,-0.02332177749763631,-0.011424519382288084,-0.006933501418216248,-0.0006303183107469745,0.013551843681058884
Wrist_mediany,-0.009825086668767776,0.0078180237461019,-0.026473369051370987,-0.01575795776867328,-0.01008509297195087,-0.00464859754175867,0.008824456350457033
